pid,dim,adcon,tv,rating,age,agecat,dprime
6712191,cruise,non-address,choice,1,37,35.54,-0.307239651
6712191,dog,addressable,choice,1.5,37,35.54,0.282216147
6712191,games,addressable,choice,-2,37,35.54,0.282216147
6712354,car,addressable,random,1.75,60,55+,0
6712354,cruise,addressable,random,0.25,60,55+,0.589455798
6712354,dog,non-address,random,0.75,60,55+,0.282216147
6712354,games,non-address,random,2.25,60,55+,0
6712564,car,non-address,choice,4.75,42,35.54,0.282216147
6712564,cruise,addressable,choice,4.25,42,35.54,0.871671945
6712564,dog,non-address,choice,2.5,42,35.54,0
6712564,games,addressable,choice,7.75,42,35.54,0.282216147
6712674,car,non-address,random,0.25,31,18_34,0.377965768
6712674,cruise,non-address,random,0,31,18_34,0
6712674,dog,addressable,random,0,31,18_34,0.564432294
6712674,games,addressable,random,5.5,31,18_34,1.249637713
6712772,car,addressable,choice,1.5,38,35.54,1.178911596
6712772,cruise,non-address,choice,-1.25,38,35.54,1.249637713
6712772,dog,non-address,choice,-4.75,38,35.54,1.593218818
6712772,games,addressable,choice,5.25,38,35.54,2.560640384
6696732,car,non-address,random,-0.5,28,18_34,0
6696732,cruise,addressable,random,2,28,18_34,0
6696732,dog,non-address,random,3.25,28,18_34,1.593218818
6696732,games,addressable,random,4.75,28,18_34,0.967421566
6697064,car,addressable,choice,-2.25,38,35.54,0.564432294
6697064,cruise,addressable,choice,6.75,38,35.54,0.967421566
6697064,dog,non-address,choice,3.75,38,35.54,0.685205419
6697064,games,non-address,choice,-6.25,38,35.54,0.307239651
6697167,car,non-address,choice,4,31,18_34,0.564432294
6697167,cruise,addressable,choice,2.5,31,18_34,1.249637713
6697167,dog,addressable,choice,4,31,18_34,1.593218818
6697167,games,non-address,choice,-3,31,18_34,0
6697573,car,addressable,choice,5.25,27,18_34,0.282216147
6697573,cruise,addressable,choice,5.5,27,18_34,-1.311002671
6697573,dog,non-address,choice,-3.5,27,18_34,-0.377965768
6697573,games,non-address,choice,-6.25,27,18_34,0
6699709,car,addressable,random,-2,25,18_34,0.282216147
6699709,cruise,non-address,random,-1.5,25,18_34,0.871671945
6699709,dog,addressable,random,1.75,25,18_34,1.934843132
6699709,games,non-address,random,-1,25,18_34,0.967421566
6706191,car,non-address,random,-0.25,42,35.54,0.589455798
6706191,cruise,non-address,random,-7.25,42,35.54,0
6706191,dog,addressable,random,-6.75,42,35.54,0.377965768
6706191,games,addressable,random,0.25,42,35.54,0
6706196,car,addressable,choice,2,57,55+,0.307239651
6706196,cruise,non-address,choice,0,57,55+,0.871671945
6706196,dog,addressable,choice,-6,57,55+,1.00376302
6706196,games,non-address,choice,-4,57,55+,0.282216147
